BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP,PEER_STABILITY,PEERS_CONSIDERED,TIMES_RECOMMENDED,BADGE_N_RUNS,RECOMMENDATION_STABILITY
1054068,,390898,167,21,19,0,19,1.0,1.0,1.0,20,3,3,1.0
1054071,,390898,167,21,19,0,19,1.0,1.0,1.0,20,3,3,1.0
1135838,,396222,22276,12,11,0,11,1.0,1.0,1.0,11,3,3,1.0
1265551,,376736,6720,11,10,0,10,1.0,1.0,1.0,10,3,3,1.0
1257374,,6059,29890,11,10,0,10,1.0,1.0,1.0,10,3,3,1.0
1257558,,23110,45881,11,10,0,10,1.0,1.0,1.0,10,3,3,1.0
1256910,,344290,13258,10,9,0,9,1.0,1.0,1.0,9,3,3,1.0
1257657,,153917,14515,10,9,0,9,1.0,1.0,1.0,9,3,3,1.0
1257372,,79965,2980,9,8,0,8,1.0,1.0,1.0,8,3,3,1.0
1257371,,444305,3171,10,8,0,8,1.0,1.0,1.0,9,3,3,1.0
1257369,,444305,3171,10,8,0,8,1.0,1.0,1.0,9,3,3,1.0
1030513,,2516,8119,9,8,0,8,1.0,1.0,1.0,8,3,3,1.0
1257379,,430001,14931,9,8,0,8,1.0,1.0,1.0,8,3,3,1.0
1257453,,27371,17515,9,8,0,8,1.0,1.0,1.0,8,3,3,1.0
1115523,,3004,26333,9,8,0,8,1.0,1.0,1.0,8,3,3,1.0
1232493,,473122,26767,9,8,0,8,1.0,1.0,1.0,8,3,3,1.0
1257363,,24763,3519,8,7,0,7,1.0,1.0,1.0,7,3,3,1.0
1112173,,506653,4286,8,7,0,7,1.0,1.0,1.0,7,3,3,1.0
1145044,,477906,9039,8,7,0,7,1.0,1.0,1.0,7,3,3,1.0
1232465,,525844,10033,8,7,0,7,1.0,1.0,1.0,7,3,3,1.0
1257649,,161599,15209,8,7,0,7,1.0,1.0,1.0,7,3,3,1.0
1082158,,20106,19184,8,7,0,7,1.0,1.0,1.0,7,3,3,1.0
1232497,,444308,22687,8,7,0,7,1.0,1.0,1.0,7,3,3,1.0
1232503,,536187,22715,10,7,0,7,1.0,1.0,1.0,9,3,3,1.0
1232964,,536187,22715,10,7,0,7,1.0,1.0,1.0,9,3,3,1.0
1232555,,536187,22715,10,7,0,7,1.0,1.0,1.0,9,3,3,1.0
1132422,,54370,30044,8,7,0,7,1.0,1.0,1.0,7,3,3,1.0
1209985,,3278,36075,8,7,0,7,1.0,1.0,1.0,7,3,3,1.0
1000795,,383756,175,7,6,0,6,1.0,1.0,1.0,6,3,3,1.0
1008085,,6229,2611,7,6,0,6,1.0,1.0,1.0,6,3,3,1.0
1232532,,506639,2781,7,6,0,6,1.0,1.0,1.0,6,3,3,1.0
1013016,,194556,3784,7,6,0,6,1.0,1.0,1.0,6,3,3,1.0
1037179,,384088,4578,7,6,0,6,1.0,1.0,1.0,6,3,3,1.0
1031540,,85727,8395,7,6,0,6,1.0,1.0,1.0,6,3,3,1.0
